# Mwm name	Generation time
US_Pennsylvania_Scranton	6242.894848
Germany_Lower Saxony_Hannover	6223.720201
France_Poitou-Charentes_Charente-Maritime	6180.580983
Switzerland_Eastern	6140.135943
Spain_Community of Madrid	6083.947632
Israel	6077.96325
Denmark_Region of Southern Denmark	6031.9088059999995
Germany_Brandenburg_North	6004.202015
Syria	5960.853223
Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Mulheim	5947.180759000001
South Korea_North	5931.650088
UK_Scotland_South	5903.022779
France_Centre-Val de Loire_Indre-et-Loire	5858.91903
Switzerland_Northwestern	5850.031623
US_Texas_Tyler	5847.986916
US_Arkansas_North	5814.859852
China_Shandong	5787.113101999999
Australia_Brisbane	5763.8078080000005
US_South Carolina_Columbia	5743.041445
India_Kerala	5670.948309
Poland_Pomeranian Voivodeship	5667.948252
Uzbekistan	5632.297461
India_Karnataka_North	5611.401665
US_West Virginia	5600.676169
Uruguay	5561.194515
US_Virginia_Roanoke	5514.092514
US_Alabama_Birmingham	5510.813332
China_Henan	5506.147591
Germany_Lower Saxony_Braunschweig	5486.4596
Turkey_Mediterranean Region	5485.609832
Spain_Catalonia_Provincia de Lleida	5461.318230000001
UK_England_East of England_Essex	5429.369893
US_Virginia_Richmond	5402.934429
US_Missouri_Kansas	5400.198986
France_Nord-Pas-de-Calais_Pas-de-Calais	5384.419875
US_Illinois_Springfield	5354.218311
France_Rhone-Alpes_Loire	5303.024943
India_Gujarat	5285.885396
US_Oklahoma_Tulsa	5278.554365
Finland_Southern Finland_Helsinki	5266.799963
US_Mississippi_North	5261.867757
Sudan_West	5238.413597
Greece_Decentralized Administration of Macedonia and Thrace	5209.40325
Spain_Andalusia_Sevilla	5206.761011
Netherlands_Overijssel_Enschede	5203.158053
Czech_Moravskoslezsko	5190.617173000001
Germany_Free State of Bavaria_Upper Bavaria_East	5180.915623
China_Guangdong	5169.037072
South Africa_Gauteng	5165.09368
France_Auvergne_Puy-de-Dome	5152.282977
